year,PRCP,RD,Tmean,Tmin,Tmax,Tvar,FD,HD,GDD,Heat_Stress,Cold_Stress,Maize_sown_area,Maize_production,Maize_avg_yield,Yield_computed
1995,1224.12,177.2,10.642027397260277,5.982246575342466,15.901315068493153,9.919068493150686,88.0,55.0,2979.54,4.0,177.8,1098287,4679848,4430,4.2610428785918435
1996,1205.12,162.4,8.277298575242657,4.602058287795993,14.461420765027322,9.859362477231327,134.8,28.4,2412.55,2.0,197.4,1073733,5989220,5610,5.577941629809273
1997,912.58,140.4,8.61417394249586,4.760207737468011,15.475506849315073,10.71529911184706,81.16666666666667,16.0,2418.133333333333,0.0,164.5,1080811,6827776,6410,6.317271012230631
1998,1305.48,163.2,10.766630136986302,6.304493150684932,15.89660273972603,9.592109589041096,93.4,53.0,3015.28,8.0,178.8,1054774,6143270,5950,5.824252399092128
1999,1496.5800000000002,175.8,10.876438356164382,6.728931506849316,15.575616438356164,8.846684931506848,97.4,25.0,3152.52,2.0,179.6,1139727,7143901,6380,6.268080864979069
2000,796.4399999999999,125.0,12.03415300546448,7.08743169398907,17.51153005464481,10.424098360655735,69.8,69.4,3543.1,12.2,149.4,1244857,4984332,4150,4.003939408301516
2001,1186.58,159.2,10.887835616438355,6.4251506849315065,15.980383561643835,9.555232876712331,102.0,43.6,3116.02,2.75,171.2,1285349,7857713,6220,6.113291409570475
2002,665.9250000000001,95.5,11.520646545235586,7.573765335691705,16.01555415474936,8.441788819057654,54.0,34.0,2123.525,4.0,96.28571428571428,1238437,6120937,5050,4.942469419114578
2003,635.4714285714286,86.71428571428571,11.291272015655576,6.650958904109589,16.394520547945206,9.743561643835616,89.42857142857143,66.57142857142857,2640.342857142857,4.0,145.28571428571428,1178601,4532147,3950,3.845361576988311
2004,840.4,110.625,10.10185199363478,6.185013152148398,14.515964938067398,8.330951785919,60.625,20.142857142857142,1851.2625,3.0,101.375,1207809,8332448,7000,6.898812643389808
2005,935.9714285714286,121.85714285714286,10.477299412915851,6.378708414872798,15.03068493150685,8.65197651663405,81.14285714285714,16.714285714285715,2133.842857142857,1.0,149.71428571428572,1204215,9050004,7560,7.515272604975025
2006,782.8714285714286,114.14285714285714,11.36238747553816,7.198786692759296,16.027045009784736,8.82825831702544,79.14285714285714,41.85714285714285,2362.8142857142857,1.5,117.85714285714286,1223451,8281666,6820,6.769103135311508
2007,790.3714285714286,114.14285714285714,12.51166340508806,7.980978473581213,17.46109589041096,9.480117416829746,34.285714285714285,53.285714285714285,2500.2285714285717,11.714285714285714,75.0,1261400,4026734,3730,3.1922736641826543
2008,807.8142857142858,113.57142857142856,12.297658079625291,7.904527712724435,17.24496487119438,9.340437158469946,28.428571428571427,38.42857142857143,2379.957142857143,4.75,82.71428571428571,1207779,8897138,7470,7.366528147947596
2009,732.9142857142857,113.14285714285714,12.154833659491192,7.783170254403132,16.991115459882582,9.20794520547945,54.285714285714285,43.142857142857146,2626.7714285714283,2.5,87.42857142857143,1200166,7528380,6390,6.272782265119992
2010,1176.8857142857144,154.85714285714286,10.993463796477496,7.090998043052838,15.435303326810176,8.344305283757336,80.71428571428571,35.57142857142857,2183.514285714286,2.0,119.71428571428572,1160652,6984872,6470,6.018058815217653
2011,544.0142857142857,79.71428571428571,11.676164383561645,7.188140900195696,16.68637964774951,9.498238747553817,74.0,46.42857142857143,2513.714285714286,5.0,130.14285714285714,1256563,7992443,6500,6.360558921438877
2012,658.9285714285714,96.28571428571428,10.245014690470844,6.051417864361104,17.42872755659641,11.377309692235306,54.875,71.71428571428571,2431.3125,15.857142857142858,98.875,1279873,4762707,4000,3.7212340599418847
2013,831.9142857142857,124.57142857142856,11.904070450097848,7.726262230919765,16.548884540117417,8.822622309197651,54.57142857142857,44.42857142857143,2469.0,9.428571428571429,114.28571428571428,1258408,6756435,5440,5.369033731508382
2014,994.4142857142856,123.42857142857144,12.705753424657534,8.630019569471624,17.384187866927594,8.75416829745597,25.571428571428573,25.714285714285715,2413.085714285714,1.0,53.42857142857143,1230773,9315104,7820,7.568498821472359
2015,730.5,101.14285714285714,12.546301369863013,8.1906457925636,17.37706457925636,9.18641878669276,22.428571428571427,66.14285714285714,2586.6428571428573,15.714285714285714,83.42857142857143,1164857,6632783,5790,5.694074895030034
2016,868.3000000000001,113.0,10.863493962498271,6.764650262658885,15.52306085067531,8.758410588016424,46.5,31.857142857142858,2095.25,2.0,81.625,1016336,8729915,8630,8.589595370035106
2017,694.8625000000001,85.75,11.957260273972604,7.378390410958904,17.01054794520548,9.632157534246575,51.875,49.375,2219.1875,7.5,89.625,1000105,6739186,6820,6.738478459761725
2018,668.0625,99.625,11.401963553949855,7.430673641427067,17.85287671232877,10.422203070901702,36.11111111111112,47.0,2321.5666666666666,2.0,73.0,955881,7976941,8490,8.345119319245805
